Timestamp,HR,BR,Temp,Valence,Arisal,Incident
0,75,16,25,0,1,0
1,77,16,25,0,-3,0
2,76,17,25,1,2,0
3,74,18,24,1,1,0
4,77,17,27,1,3,0
5,75,19,25,1,1,0
6,75,20,22,-1,0,0
7,75,18,23,-1,1,0
8,76,18,23,0,2,0
9,80,19,24,0,6,0
10,88,25,35,-1,10,1
11,83,24,34,-1,4,0
12,80,23,33,-1,2,0
13,75,23,32,0,1,0
14,74,22,33,0,-1,0
15,76,20,30,0,-1,0
16,75,18,29,0,-3,0
17,76,15,31,0,-2,0
18,77,16,29,1,-8,0
19,77,16,29,1,-3,0
20,77,14,28,0,-3,0
21,75,12,25,0,-4,0
22,60,10,20,1,-9,1
23,55,11,21,0,-5,0
24,58,14,22,0,-1,0
25,61,16,22,0,3,0
26,64,16,24,0,0,0
27,65,16,23,0,-1,0
28,68,17,25,0,0,0
29,71,16,24,0,2,0
30,75,14,25,0,0,0
31,75,15,25,0,-3,0